Site,Pop,Rep,Time_in_SB,Tray,Well,Seed_number,Viability_category,Germ_in_bag,Purple_Stainning,More_50_stain,Radicle_cap_stained,Notes,Elev_m,Elev_class
CP2,IH,11,1,11,C3,5,3,0,0,1,0,NA,454,low
CP2,IH,11,1,11,C3,6,4,0,0,NA,NA,NA,454,low
CP2,IH,11,1,11,C3,7,4,0,0,NA,NA,NA,454,low
CP2,IH,11,1,11,C3,8,4,0,0,NA,NA,NA,454,low
CP2,IH,11,1,11,C3,9,1,0,0,NA,NA,NA,454,low
CP2,IH,11,1,11,C3,10,1,0,0,NA,NA,NA,454,low
CP2,YOSE1,12,1,12,A1,1,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,12,1,12,A1,2,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,12,1,12,A1,3,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,12,1,12,A1,4,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,12,1,12,A1,5,3,0,1,0,1,purple stain on embryo,2141,high
CP2,YOSE1,12,1,12,A1,6,4,0,0,NA,NA,NA,2141,high
CP2,DPR,12,1,12,A2,1,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,12,1,12,A2,2,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,12,1,12,A2,3,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,12,1,12,A2,4,4,0,0,NA,NA,NA,1019,mid
CP2,DPR,12,1,12,A2,5,4,0,0,NA,NA,NA,1019,mid
CP2,DPR,12,1,12,A2,6,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,12,1,12,A2,7,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,12,1,12,A2,8,4,0,0,NA,NA,NA,1019,mid
CP2,DPR,12,1,12,A2,9,4,0,0,NA,NA,NA,1019,mid
CP2,DPR,12,1,12,A2,10,1,0,0,NA,NA,NA,1019,mid
CP2,WL3,12,1,12,A3,1,1,0,0,NA,NA,NA,2138,high
CP2,WL3,12,1,12,A3,2,4,0,0,NA,NA,NA,2138,high
CP2,WL3,12,1,12,A3,3,4,0,0,NA,NA,NA,2138,high
CP2,WL3,12,1,12,A3,4,1,0,0,NA,NA,NA,2138,high
CP2,WL3,12,1,12,A3,5,1,0,0,NA,NA,NA,2138,high
CP2,WL3,12,1,12,A3,6,4,0,0,NA,NA,NA,2138,high
CP2,WL3,12,1,12,A3,7,4,0,0,NA,NA,NA,2138,high
CP2,WL3,12,1,12,A3,8,3,0,1,0,0,"purple cap, purple stain on embryo",2138,high
CP2,WL3,12,1,12,A3,9,1,0,0,NA,NA,NA,2138,high
CP2,WL3,12,1,12,A3,10,4,0,0,NA,NA,NA,2138,high
CP2,SC,12,1,12,A4,1,1,0,0,NA,NA,NA,422,low
CP2,SC,12,1,12,A4,2,1,0,0,NA,NA,NA,422,low
CP2,SC,12,1,12,A4,3,1,0,0,NA,NA,NA,422,low
CP2,SC,12,1,12,A4,4,1,0,0,NA,NA,NA,422,low
CP2,SC,12,1,12,A4,5,4,0,0,NA,NA,NA,422,low
CP2,SC,12,1,NA,NA,6,1,1,NA,NA,NA,NA,422,low
CP2,SQ3,12,1,12,B1,1,4,0,0,NA,NA,NA,2373,high
CP2,SQ3,12,1,12,B1,2,1,0,0,NA,NA,NA,2373,high
CP2,SQ3,12,1,12,B1,3,1,0,0,NA,NA,NA,2373,high
CP2,SQ3,12,1,12,B1,4,4,0,0,NA,NA,NA,2373,high
CP2,TM2,12,1,12,B2,1,1,0,0,NA,NA,NA,379,low
CP2,TM2,12,1,12,B2,2,1,0,0,NA,NA,NA,379,low
CP2,TM2,12,1,12,B2,3,4,0,0,NA,NA,NA,379,low
CP2,TM2,12,1,12,B2,4,1,0,0,NA,NA,NA,379,low
CP2,TM2,12,1,12,B2,5,1,0,0,NA,NA,NA,379,low
CP2,TM2,12,1,12,B2,6,2,0,1,NA,NA,purple band,379,low
CP2,TM2,12,1,12,B2,7,4,0,0,NA,NA,NA,379,low
CP2,TM2,12,1,12,B2,8,1,0,0,NA,NA,NA,379,low
CP2,BH,12,1,12,B3,1,1,0,0,NA,NA,NA,511,low
CP2,BH,12,1,12,B3,2,4,0,0,NA,NA,NA,511,low
CP2,BH,12,1,12,B3,3,4,0,0,NA,NA,NA,511,low
CP2,BH,12,1,12,B3,4,4,0,0,NA,NA,NA,511,low
CP2,BH,12,1,12,B3,5,4,0,0,NA,NA,NA,511,low
CP2,BH,12,1,12,B3,6,4,0,0,NA,NA,NA,511,low
CP2,LV2,12,1,12,B4,1,2,0,1,NA,NA,light purple stain and band,2500,high
CP2,LV2,12,1,12,B4,2,1,0,0,NA,NA,NA,2500,high
CP2,LV2,12,1,12,B4,3,2,0,1,NA,NA,purple band,2500,high
CP2,LV2,12,1,12,B4,4,1,0,0,NA,NA,NA,2500,high
CP2,LV2,12,1,12,B4,5,1,0,0,NA,NA,NA,2500,high
CP2,LV2,12,1,12,B4,6,1,0,0,NA,NA,NA,2500,high
CP2,LV2,12,1,12,B4,7,4,0,0,NA,NA,NA,2500,high
CP2,LV2,12,1,12,B4,8,4,0,0,NA,NA,NA,2500,high
CP2,IH,12,1,12,C1,1,1,0,0,NA,NA,NA,454,low
CP2,IH,12,1,12,C1,2,1,0,0,NA,NA,NA,454,low
CP2,IH,12,1,12,C1,3,1,0,0,NA,NA,NA,454,low
CP2,IH,12,1,12,C1,4,1,0,0,NA,NA,NA,454,low
CP2,IH,12,1,12,C1,5,1,0,0,NA,NA,NA,454,low
CP2,IH,12,1,12,C1,6,1,0,0,NA,NA,NA,454,low
CP2,IH,12,1,12,C1,7,1,0,0,NA,NA,NA,454,low
CP2,IH,12,1,12,C1,8,1,0,0,NA,NA,NA,454,low
CP2,IH,12,1,12,C1,9,1,0,0,NA,NA,NA,454,low
CP2,IH,12,1,12,C1,10,4,0,0,NA,NA,NA,454,low
CP2,WL2,12,1,12,C2,1,1,0,0,NA,NA,NA,2020,high
CP2,WL2,12,1,12,C2,2,1,0,0,NA,NA,NA,2020,high
CP2,WL2,12,1,12,C2,3,1,0,0,NA,NA,NA,2020,high
CP2,WL2,12,1,12,C2,4,1,0,0,NA,NA,NA,2020,high
CP2,WL2,12,1,12,C2,5,1,0,0,NA,NA,NA,2020,high
CP2,WL2,12,1,12,C2,6,3,0,0,NA,NA,NA,2020,high
CP2,WL2,12,1,NA,NA,7,1,1,NA,NA,NA,NA,2020,high
CP2,WL1,12,1,12,C3,1,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,12,1,12,C3,2,3,0,1,0,0,light purple stain on radicle,1614,mid
CP2,WL1,12,1,12,C3,3,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,12,1,12,C3,4,3,0,0,NA,NA,NA,1614,mid
CP2,WL1,12,1,12,C3,5,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,12,1,12,C3,6,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,12,1,12,C3,7,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,12,1,12,C3,8,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,12,1,12,C3,9,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,12,1,12,C3,10,4,0,0,NA,NA,NA,1614,mid
CP2,TM2,13,1,13,A1,1,1,0,0,NA,NA,NA,379,low
CP2,TM2,13,1,13,A1,2,1,0,0,NA,NA,NA,379,low
CP2,TM2,13,1,13,A1,3,1,0,0,NA,NA,NA,379,low
CP2,TM2,13,1,13,A1,4,1,0,0,NA,NA,NA,379,low
CP2,TM2,13,1,13,A1,5,1,0,0,NA,NA,NA,379,low
CP2,TM2,13,1,13,A1,6,1,0,0,NA,NA,NA,379,low
CP2,TM2,13,1,13,A1,7,1,0,0,NA,NA,NA,379,low
CP2,TM2,13,1,13,A1,8,4,0,0,NA,NA,NA,379,low
CP2,TM2,13,1,13,A1,9,4,0,0,NA,NA,NA,379,low
CP2,DPR,13,1,13,A2,1,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,13,1,13,A2,2,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,13,1,13,A2,3,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,13,1,13,A2,4,4,0,0,NA,NA,NA,1019,mid
CP2,DPR,13,1,13,A2,5,4,0,0,NA,NA,NA,1019,mid
CP2,DPR,13,1,13,A2,6,4,0,0,NA,NA,NA,1019,mid
CP2,DPR,13,1,13,A2,7,4,0,0,NA,NA,NA,1019,mid
CP2,WL1,13,1,13,A3,1,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,13,1,13,A3,2,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,13,1,13,A3,3,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,13,1,13,A3,4,2,0,0,NA,NA,NA,1614,mid
CP2,WL1,13,1,13,A3,5,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,13,1,13,A3,6,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,13,1,13,A3,7,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,13,1,13,A3,8,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,13,1,13,A3,9,3,0,1,0,0,dark purple embryo,1614,mid
CP2,WL3,13,1,13,A4,1,1,0,0,NA,NA,NA,2138,high
CP2,WL3,13,1,13,A4,2,1,0,0,NA,NA,NA,2138,high
CP2,WL3,13,1,13,A4,3,4,0,0,NA,NA,NA,2138,high
CP2,WL3,13,1,13,A4,4,1,0,0,NA,NA,NA,2138,high
CP2,WL3,13,1,13,A4,5,1,0,0,NA,NA,NA,2138,high
CP2,WL3,13,1,13,A4,6,1,0,0,NA,NA,NA,2138,high
CP2,WL3,13,1,13,A4,7,1,0,0,NA,NA,NA,2138,high
CP2,WL3,13,1,13,A4,8,4,0,0,NA,NA,NA,2138,high
CP2,WL3,13,1,13,A4,9,4,0,0,NA,NA,NA,2138,high
CP2,SC,13,1,13,B1,1,1,0,0,NA,NA,NA,422,low
CP2,SC,13,1,13,B1,2,1,0,0,NA,NA,NA,422,low
CP2,SC,13,1,13,B1,3,1,0,0,NA,NA,NA,422,low
CP2,SC,13,1,13,B1,4,1,0,0,NA,NA,NA,422,low
CP2,SC,13,1,13,B1,5,4,0,0,NA,NA,NA,422,low
CP2,SC,13,1,13,B1,6,4,0,0,NA,NA,NA,422,low
CP2,SC,13,1,13,B1,7,1,0,0,NA,NA,NA,422,low
CP2,SC,13,1,NA,NA,8,1,1,NA,NA,NA,NA,422,low
CP2,BH,13,1,13,B2,1,1,0,0,NA,NA,NA,511,low
CP2,BH,13,1,13,B2,2,1,0,0,NA,NA,NA,511,low
CP2,BH,13,1,13,B2,3,1,0,0,NA,NA,NA,511,low
CP2,BH,13,1,13,B2,4,1,0,0,NA,NA,NA,511,low
CP2,BH,13,1,13,B2,5,4,0,0,NA,NA,NA,511,low
CP2,BH,13,1,13,B2,6,1,0,0,NA,NA,NA,511,low
CP2,BH,13,1,13,B2,7,4,0,0,NA,NA,NA,511,low
CP2,BH,13,1,13,B2,8,4,0,0,NA,NA,NA,511,low
CP2,BH,13,1,13,B2,9,4,0,0,NA,NA,NA,511,low
CP2,IH,13,1,13,B3,1,1,0,0,NA,NA,NA,454,low
CP2,IH,13,1,13,B3,2,1,0,0,NA,NA,NA,454,low
CP2,IH,13,1,13,B3,3,3,0,0,1,0,NA,454,low
CP2,IH,13,1,13,B3,4,1,0,0,NA,NA,NA,454,low
CP2,IH,13,1,13,B3,5,4,0,0,NA,NA,NA,454,low
CP2,IH,13,1,13,B3,6,4,0,0,NA,NA,NA,454,low
CP2,IH,13,1,13,B3,7,4,0,1,NA,NA,purple stain for the whole seed,454,low
CP2,IH,13,1,13,B3,8,4,0,0,NA,NA,NA,454,low
CP2,SQ3,13,1,13,B4,1,4,0,0,NA,NA,NA,2373,high
CP2,SQ3,13,1,13,B4,2,4,0,0,NA,NA,NA,2373,high
CP2,SQ3,13,1,13,B4,3,1,0,0,NA,NA,NA,2373,high
CP2,SQ3,13,1,13,B4,4,1,0,0,NA,NA,NA,2373,high
CP2,YOSE1,13,1,13,C1,1,3,0,0,1,1,NA,2141,high
CP2,YOSE1,13,1,13,C1,2,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,13,1,13,C1,3,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,13,1,13,C1,4,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,13,1,13,C1,5,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,13,1,13,C1,6,4,0,0,NA,NA,NA,2141,high
CP2,WL2,13,1,13,C2,1,1,0,0,NA,NA,NA,2020,high
CP2,WL2,13,1,13,C2,2,1,0,0,NA,NA,NA,2020,high
CP2,WL2,13,1,13,C2,3,1,0,0,NA,NA,NA,2020,high
CP2,WL2,13,1,13,C2,4,1,0,0,NA,NA,NA,2020,high
CP2,WL2,13,1,13,C2,5,3,0,1,0,0,purple band and radicle,2020,high
CP2,WL2,13,1,13,C2,6,2,0,1,NA,NA,light purple stain,2020,high
CP2,WL2,13,1,13,C2,7,4,0,0,NA,NA,NA,2020,high
CP2,WL2,13,1,13,C2,8,4,0,0,NA,NA,NA,2020,high
CP2,WL2,13,1,NA,NA,9,1,1,NA,NA,NA,NA,2020,high
CP2,LV2,13,1,13,C3,1,1,0,0,NA,NA,NA,2500,high
CP2,LV2,13,1,13,C3,2,1,0,0,NA,NA,NA,2500,high
CP2,LV2,13,1,13,C3,3,1,0,0,NA,NA,NA,2500,high
CP2,LV2,13,1,13,C3,4,2,0,1,NA,NA,purple band,2500,high
CP2,LV2,13,1,13,C3,5,1,0,0,NA,NA,NA,2500,high
CP2,LV2,13,1,13,C3,6,1,0,0,NA,NA,NA,2500,high
CP2,LV2,13,1,13,C3,7,4,0,0,NA,NA,NA,2500,high
CP2,LV2,13,1,13,C3,8,4,0,0,NA,NA,NA,2500,high
CP2,DPR,14,1,14,A1,1,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,14,1,14,A1,2,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,14,1,14,A1,3,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,14,1,14,A1,4,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,14,1,14,A1,5,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,14,1,14,A1,6,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,14,1,14,A1,7,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,14,1,14,A1,8,4,0,0,NA,NA,NA,1019,mid
CP2,DPR,14,1,14,A1,9,4,0,0,NA,NA,NA,1019,mid
CP2,WL3,14,1,14,A2,1,3,0,1,0,0,dark purple embryo,2138,high
CP2,WL3,14,1,14,A2,2,4,0,0,NA,NA,NA,2138,high
CP2,WL3,14,1,14,A2,3,2,0,0,NA,NA,NA,2138,high
CP2,WL3,14,1,14,A2,4,4,0,0,NA,NA,NA,2138,high
CP2,WL3,14,1,14,A2,5,1,0,0,NA,NA,NA,2138,high
CP2,WL3,14,1,14,A2,6,1,0,0,NA,NA,NA,2138,high
CP2,WL3,14,1,14,A2,7,4,0,0,NA,NA,NA,2138,high
CP2,WL3,14,1,14,A2,8,4,0,0,NA,NA,NA,2138,high
CP2,WL3,14,1,14,A2,9,4,0,0,NA,NA,NA,2138,high
CP2,WL2,14,1,14,A3,1,1,0,0,NA,NA,NA,2020,high
CP2,WL2,14,1,14,A3,2,1,0,0,NA,NA,NA,2020,high
CP2,WL2,14,1,14,A3,3,1,0,0,NA,NA,NA,2020,high
CP2,WL2,14,1,14,A3,4,3,0,1,0,0,dark purple stain on embryo,2020,high
CP2,WL2,14,1,14,A3,5,1,0,0,NA,NA,NA,2020,high
CP2,WL2,14,1,14,A3,6,1,0,0,NA,NA,NA,2020,high
CP2,WL2,14,1,14,A3,7,1,0,0,NA,NA,NA,2020,high
CP2,WL2,14,1,14,A3,8,4,0,0,NA,NA,NA,2020,high
CP2,WL2,14,1,14,A3,9,4,0,0,NA,NA,NA,2020,high
CP2,BH,14,1,14,A4,1,1,0,0,NA,NA,NA,511,low
CP2,BH,14,1,14,A4,2,1,0,0,NA,NA,NA,511,low
CP2,BH,14,1,14,A4,3,1,0,0,NA,NA,NA,511,low
CP2,BH,14,1,14,A4,4,4,0,0,NA,NA,NA,511,low
CP2,BH,14,1,14,A4,5,4,0,0,NA,NA,NA,511,low
CP2,BH,14,1,NA,NA,6,1,1,NA,NA,NA,NA,511,low
CP2,YOSE1,14,1,14,B1,1,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,14,1,14,B1,2,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,14,1,14,B1,3,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,14,1,14,B1,4,4,0,0,NA,NA,NA,2141,high
CP2,YOSE1,14,1,14,B1,5,4,0,0,NA,NA,NA,2141,high
CP2,YOSE1,14,1,14,B1,6,4,0,0,NA,NA,NA,2141,high
CP2,YOSE1,14,1,14,B1,7,4,0,0,NA,NA,NA,2141,high
CP2,YOSE1,14,1,14,B1,8,4,0,0,NA,NA,NA,2141,high
CP2,YOSE1,14,1,NA,NA,9,1,1,NA,NA,NA,NA,2141,high
CP2,SC,14,1,14,B2,1,1,0,0,NA,NA,NA,422,low
CP2,SC,14,1,14,B2,2,1,0,0,NA,NA,NA,422,low
CP2,SC,14,1,14,B2,3,1,0,0,NA,NA,NA,422,low
CP2,SC,14,1,14,B2,4,1,0,0,NA,NA,NA,422,low
CP2,SC,14,1,14,B2,5,3,0,1,0,1,purple embryo,422,low
CP2,SC,14,1,14,B2,6,1,0,0,NA,NA,NA,422,low
CP2,SC,14,1,14,B2,7,1,0,0,NA,NA,NA,422,low
CP2,SC,14,1,14,B2,8,4,0,0,NA,NA,NA,422,low
CP2,SC,14,1,14,B2,9,4,0,0,NA,NA,NA,422,low
CP2,SC,14,1,14,B2,10,4,0,0,NA,NA,NA,422,low
CP2,IH,14,1,14,B3,1,1,0,0,NA,NA,NA,454,low
CP2,IH,14,1,14,B3,2,1,0,0,NA,NA,NA,454,low
CP2,IH,14,1,14,B3,3,3,0,1,0,0,dark purple embryo,454,low
CP2,IH,14,1,14,B3,4,3,0,0,0,0,NA,454,low
CP2,IH,14,1,14,B3,5,3,0,1,0,0,"purple embryo, light purple stain on radicle",454,low
CP2,IH,14,1,14,B3,6,3,0,1,0,1,"purple band, purple and green on embryo",454,low
CP2,IH,14,1,14,B3,7,4,0,0,NA,NA,NA,454,low
CP2,IH,14,1,14,B3,8,4,0,0,NA,NA,NA,454,low
CP2,IH,14,1,14,B3,9,4,0,0,NA,NA,NA,454,low
CP2,IH,14,1,14,B3,10,4,0,0,NA,NA,NA,454,low
CP2,LV2,14,1,14,B4,1,1,0,0,NA,NA,NA,2500,high
CP2,LV2,14,1,14,B4,2,1,0,0,NA,NA,NA,2500,high
CP2,LV2,14,1,14,B4,3,1,0,0,NA,NA,NA,2500,high
CP2,LV2,14,1,14,B4,4,1,0,0,NA,NA,NA,2500,high
CP2,LV2,14,1,14,B4,5,1,0,0,NA,NA,NA,2500,high
CP2,LV2,14,1,14,B4,6,1,0,0,NA,NA,NA,2500,high
CP2,LV2,14,1,14,B4,7,4,0,0,NA,NA,NA,2500,high
CP2,LV2,14,1,14,B4,8,4,0,0,NA,NA,NA,2500,high
CP2,TM2,14,1,14,C1,1,1,0,0,NA,NA,NA,379,low
CP2,TM2,14,1,14,C1,2,3,0,1,0,1,"purple band, dark embryo with little green",379,low
CP2,TM2,14,1,14,C1,3,3,0,1,0,1,"purple band, purple stain on embryo",379,low
CP2,TM2,14,1,14,C1,4,1,0,0,NA,NA,NA,379,low
CP2,TM2,14,1,14,C1,5,4,0,0,NA,NA,NA,379,low
CP2,TM2,14,1,14,C1,6,1,0,0,NA,NA,NA,379,low
CP2,TM2,14,1,14,C1,7,1,0,0,NA,NA,NA,379,low
CP2,TM2,14,1,14,C1,8,4,0,0,NA,NA,NA,379,low
CP2,TM2,14,1,14,C1,9,4,0,0,NA,NA,NA,379,low
CP2,WL1,14,1,NA,NA,NA,NA,NA,NA,NA,NA,no seeds in the envelope (no seeds when processing the organza seed bag),1614,mid
CP2,WL3,15,1,15,A1,1,1,0,0,NA,NA,NA,2138,high
CP2,WL3,15,1,15,A1,2,1,0,0,NA,NA,NA,2138,high
CP2,WL3,15,1,15,A1,3,1,0,0,NA,NA,NA,2138,high
CP2,WL3,15,1,15,A1,4,1,0,0,NA,NA,NA,2138,high
CP2,WL3,15,1,15,A1,5,1,0,0,NA,NA,NA,2138,high
CP2,WL3,15,1,15,A1,6,1,0,0,NA,NA,NA,2138,high
CP2,WL3,15,1,15,A1,7,1,0,0,NA,NA,NA,2138,high
CP2,WL3,15,1,15,A1,8,4,0,0,NA,NA,NA,2138,high
CP2,WL3,15,1,15,A1,9,4,0,0,NA,NA,NA,2138,high
CP2,WL3,15,1,15,A1,10,4,0,0,NA,NA,NA,2138,high
CP2,BH,15,1,15,A2,1,3,0,1,0,0,purple band and embryo,511,low
CP2,BH,15,1,15,A2,2,1,0,0,NA,NA,NA,511,low
CP2,BH,15,1,15,A2,3,4,0,0,NA,NA,NA,511,low
CP2,BH,15,1,15,A2,4,4,0,0,NA,NA,NA,511,low
CP2,BH,15,1,15,A2,5,1,0,0,NA,NA,NA,511,low
CP2,BH,15,1,15,A2,6,4,0,0,NA,NA,NA,511,low
CP2,BH,15,1,15,A2,7,4,0,0,NA,NA,NA,511,low
CP2,BH,15,1,NA,NA,8,1,1,NA,NA,NA,NA,511,low
CP2,WL1,15,1,15,A3,1,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,15,1,15,A3,2,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,15,1,15,A3,3,3,0,1,0,1,partial purple stain on embryo,1614,mid
CP2,WL1,15,1,15,A3,4,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,15,1,15,A3,5,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,15,1,15,A3,6,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,15,1,15,A3,7,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,15,1,15,A3,8,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,15,1,15,A3,9,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,15,1,NA,NA,10,1,1,NA,NA,NA,NA,1614,mid
CP2,TM2,15,1,15,A4,1,1,0,0,NA,NA,NA,379,low
CP2,TM2,15,1,15,A4,2,1,0,0,NA,NA,NA,379,low
CP2,TM2,15,1,15,A4,3,1,0,0,NA,NA,NA,379,low
CP2,TM2,15,1,15,A4,4,1,0,0,NA,NA,NA,379,low
CP2,TM2,15,1,15,A4,5,1,0,0,NA,NA,NA,379,low
CP2,TM2,15,1,15,A4,6,1,0,0,NA,NA,NA,379,low
CP2,TM2,15,1,15,A4,7,1,0,0,NA,NA,NA,379,low
CP2,TM2,15,1,15,A4,8,4,0,0,NA,NA,NA,379,low
CP2,TM2,15,1,15,A4,9,4,0,0,NA,NA,NA,379,low
CP2,YOSE1,15,1,15,B1,1,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,15,1,15,B1,2,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,15,1,15,B1,3,1,0,0,NA,NA,NA,2141,high
CP2,YOSE1,15,1,15,B1,4,4,0,0,NA,NA,NA,2141,high
CP2,YOSE1,15,1,15,B1,5,4,0,0,NA,NA,NA,2141,high
CP2,YOSE1,15,1,15,B1,6,3,0,0,1,0,NA,2141,high
CP2,YOSE1,15,1,15,B1,7,4,0,0,NA,NA,NA,2141,high
CP2,YOSE1,15,1,15,B1,8,4,0,0,NA,NA,NA,2141,high
CP2,YOSE1,15,1,15,B1,9,4,0,0,NA,NA,NA,2141,high
CP2,SC,15,1,15,B2,1,1,0,0,NA,NA,NA,422,low
CP2,SC,15,1,15,B2,2,1,0,0,NA,NA,NA,422,low
CP2,SC,15,1,15,B2,3,1,0,0,NA,NA,NA,422,low
CP2,SC,15,1,15,B2,4,1,0,0,NA,NA,NA,422,low
CP2,SC,15,1,15,B2,5,1,0,0,NA,NA,NA,422,low
CP2,SC,15,1,15,B2,6,1,0,0,NA,NA,NA,422,low
CP2,SC,15,1,15,B2,7,4,0,0,NA,NA,NA,422,low
CP2,SC,15,1,15,B2,8,4,0,0,NA,NA,NA,422,low
CP2,WL2,15,1,15,B3,1,1,0,0,NA,NA,NA,2020,high
CP2,WL2,15,1,15,B3,2,1,0,0,NA,NA,NA,2020,high
CP2,WL2,15,1,15,B3,3,1,0,0,NA,NA,NA,2020,high
CP2,WL2,15,1,15,B3,4,1,0,0,NA,NA,NA,2020,high
CP2,WL2,15,1,15,B3,5,1,0,0,NA,NA,NA,2020,high
CP2,WL2,15,1,15,B3,6,1,0,0,NA,NA,NA,2020,high
CP2,WL2,15,1,15,B3,7,1,0,0,NA,NA,NA,2020,high
CP2,WL2,15,1,15,B3,8,1,0,0,NA,NA,NA,2020,high
CP2,WL2,15,1,15,B3,9,4,0,0,NA,NA,NA,2020,high
CP2,LV2,15,1,15,B4,1,1,0,0,NA,NA,NA,2500,high
CP2,LV2,15,1,15,B4,2,1,0,0,NA,NA,NA,2500,high
CP2,LV2,15,1,15,B4,3,4,0,0,NA,NA,NA,2500,high
CP2,LV2,15,1,15,B4,4,4,0,0,NA,NA,NA,2500,high
CP2,LV2,15,1,15,B4,5,4,0,0,NA,NA,NA,2500,high
CP2,LV2,15,1,15,B4,6,4,0,0,NA,NA,NA,2500,high
CP2,LV2,15,1,15,B4,7,4,0,0,NA,NA,NA,2500,high
CP2,LV2,15,1,NA,NA,8,1,1,NA,NA,NA,NA,2500,high
CP2,IH,15,1,15,C1,1,1,0,0,NA,NA,NA,454,low
CP2,IH,15,1,15,C1,2,1,0,0,NA,NA,NA,454,low
CP2,IH,15,1,15,C1,3,4,0,0,NA,NA,NA,454,low
CP2,IH,15,1,15,C1,4,4,0,0,NA,NA,NA,454,low
CP2,IH,15,1,15,C1,5,4,0,0,NA,NA,NA,454,low
CP2,IH,15,1,15,C1,6,4,0,0,NA,NA,NA,454,low
CP2,IH,15,1,15,C1,7,3,0,1,0,0,purple band and embryo,454,low
CP2,IH,15,1,15,C1,8,1,0,0,NA,NA,NA,454,low
CP2,DPR,15,1,15,C2,1,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,15,1,15,C2,2,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,15,1,15,C2,3,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,15,1,15,C2,4,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,15,1,15,C2,5,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,15,1,15,C2,6,4,0,0,NA,NA,NA,1019,mid
CP2,DPR,15,1,15,C2,7,4,0,0,NA,NA,NA,1019,mid
CP2,DPR,15,1,15,C2,8,4,0,0,NA,NA,NA,1019,mid
